onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
7.0,1.0,7.0,1.0,30,4,35,6,p0n85
7.0,0.25,7.0,0.25,30,1,57,2,p0n82
7.0,0.25,7.0,0.25,30,1,61,2,p0n83
7.0,1.25,7.0,1.25,30,5,66,1,p0n81
7.25,0.5,7.25,0.5,31,2,47,5,p0n88
7.25,0.25,7.25,0.25,31,1,59,2,p0n86
7.25,0.25,7.25,0.25,31,1,63,2,p0n87
7.5,0.25,7.5,0.25,32,1,57,2,p0n89
7.5,0.25,7.5,0.25,32,1,61,2,p0n90
7.75,0.25,7.75,0.25,33,1,47,5,p0n93
7.75,0.25,7.75,0.25,33,1,59,2,p0n91
7.75,0.25,7.75,0.25,33,1,63,2,p0n92
8.0,0.25,8.0,0.25,34,1,35,5,p0n97
8.0,1.0,8.0,1.0,34,4,35,6,p0n98
8.0,0.25,8.0,0.25,34,1,57,2,p0n95
8.0,0.25,8.0,0.25,34,1,61,2,p0n96
8.25,0.5,8.25,0.5,35,2,47,5,p0n102
8.25,0.25,8.25,0.25,35,1,59,2,p0n100
8.25,0.25,8.25,0.25,35,1,63,2,p0n101
8.25,0.25,8.25,0.25,35,1,68,1,p0n99
8.5,0.25,8.5,0.25,36,1,57,2,p0n104
8.5,0.25,8.5,0.25,36,1,61,2,p0n105
8.5,0.25,8.5,0.25,36,1,68,1,p0n103
8.75,0.25,8.75,0.25,37,1,47,5,p0n109
8.75,0.25,8.75,0.25,37,1,59,2,p0n107
8.75,0.25,8.75,0.25,37,1,63,2,p0n108
8.75,0.25,8.75,0.25,37,1,66,1,p0n106
9.0,1.0,9.0,1.0,38,4,40,6,p0n113
9.0,0.25,9.0,0.25,38,1,40,5,p0n112
9.0,0.25,9.0,0.25,38,1,56,2,p0n111
9.0,1.0,9.0,1.0,38,4,64,1,p0n110
9.25,0.5,9.25,0.5,39,2,47,5,p0n115
9.25,0.25,9.25,0.25,39,1,59,2,p0n114
9.5,0.25,9.5,0.25,40,1,56,2,p0n116
9.75,0.25,9.75,0.25,41,1,47,5,p0n118
9.75,0.25,9.75,0.25,41,1,59,2,p0n117
10.0,0.25,10.0,0.25,42,1,40,5,p0n121
10.0,1.0,10.0,1.0,42,4,40,6,p0n122
10.0,0.25,10.0,0.25,42,1,62,2,p0n120
10.0,0.25,10.0,0.25,42,1,68,1,p0n119
10.25,0.5,10.25,0.5,43,2,52,5,p0n125
10.25,0.25,10.25,0.25,43,1,64,2,p0n124
10.25,0.25,10.25,0.25,43,1,69,1,p0n123
10.5,0.25,10.5,0.25,44,1,62,2,p0n127
10.5,0.25,10.5,0.25,44,1,66,1,p0n126
10.75,0.25,10.75,0.25,45,1,52,5,p0n130
10.75,0.25,10.75,0.25,45,1,64,2,p0n129
10.75,0.25,10.75,0.25,45,1,68,1,p0n128
11.0,1.0,11.0,1.0,46,4,45,6,p0n134
11.0,0.25,11.0,0.25,46,1,45,5,p0n133
11.0,0.25,11.0,0.25,46,1,61,2,p0n132
11.0,0.25,11.0,0.25,46,1,69,1,p0n131
11.25,0.5,11.25,0.5,47,2,52,5,p0n137
11.25,0.25,11.25,0.25,47,1,64,2,p0n136
11.25,0.25,11.25,0.25,47,1,71,1,p0n135
11.5,0.25,11.5,0.25,48,1,61,2,p0n139
11.5,0.25,11.5,0.25,48,1,68,1,p0n138
11.75,0.25,11.75,0.25,49,1,52,5,p0n142
11.75,0.25,11.75,0.25,49,1,64,2,p0n141
11.75,0.25,11.75,0.25,49,1,69,1,p0n140
12.0,1.0,12.0,1.0,50,4,45,6,p0n146
12.0,0.25,12.0,0.25,50,1,45,5,p0n145
12.0,0.25,12.0,0.25,50,1,61,2,p0n144
12.0,0.5,12.0,0.5,50,2,73,1,p0n143
12.25,0.5,12.25,0.5,51,2,54,5,p0n148
12.25,0.25,12.25,0.25,51,1,64,2,p0n147
12.5,0.25,12.5,0.25,52,1,61,2,p0n150
12.5,1.0,12.5,1.0,52,4,66,1,p0n149
12.75,0.25,12.75,0.25,53,1,54,5,p0n152
12.75,0.25,12.75,0.25,53,1,64,2,p0n151
13.0,1.0,13.0,1.0,54,4,47,6,p0n155
13.0,0.25,13.0,0.25,54,1,47,5,p0n154
13.0,0.25,13.0,0.25,54,1,59,2,p0n153
13.25,0.5,13.25,0.5,55,2,54,5,p0n157
13.25,0.25,13.25,0.25,55,1,64,2,p0n156
13.5,0.25,13.5,0.25,56,1,59,2,p0n160
13.5,0.25,13.5,0.25,56,1,68,1,p0n159
13.5,0.0,13.5,0.0,56,0,70,1,p0n158
13.75,0.25,13.75,0.25,57,1,54,5,p0n163
13.75,0.25,13.75,0.25,57,1,64,2,p0n162
13.75,0.75,13.75,0.75,57,3,66,1,p0n161
14.0,0.25,14.0,0.25,58,1,49,5,p0n166
14.0,1.0,14.0,1.0,58,4,49,6,p0n167
14.0,0.25,14.0,0.25,58,1,58,2,p0n165
14.25,0.5,14.25,0.5,59,2,54,5,p0n169
14.25,0.25,14.25,0.25,59,1,64,2,p0n168
14.5,0.25,14.5,0.25,60,1,58,2,p0n172
14.5,0.25,14.5,0.25,60,1,68,1,p0n171
14.5,0.0,14.5,0.0,60,0,70,1,p0n170
14.75,0.25,14.75,0.25,61,1,54,5,p0n175
14.75,0.25,14.75,0.25,61,1,64,2,p0n174
14.75,0.25,14.75,0.25,61,1,66,1,p0n173
15.0,0.25,15.0,0.25,62,1,47,5,p0n179
15.0,1.0,15.0,1.0,62,4,47,6,p0n180
15.0,0.25,15.0,0.25,62,1,57,2,p0n178
15.0,1.0,15.0,1.0,62,4,63,1,p0n176
15.0,1.0,15.0,1.0,62,4,71,1,p0n177
15.25,0.5,15.25,0.5,63,2,54,5,p0n182
15.25,0.25,15.25,0.25,63,1,59,2,p0n181
15.5,0.25,15.5,0.25,64,1,57,2,p0n183
15.75,0.25,15.75,0.25,65,1,54,5,p0n185
15.75,0.25,15.75,0.25,65,1,59,2,p0n184
